producto_id,producto,codigo_interno,codigo_barras,precio_venta_actual,costo_compra_actual,flete_actual,ganancia_actual,inventario_id,almacen_id,almacen,stock_almacen,reservado,variante_id,talla,color,color_hex,stock_variante
1,Blusa,INT-ZDUE1W,7692778924409,150,50,,20,4,,,8,8,138,M,Rojo,#d52020,15
5,Blusa,INT-BUF9GU,3965143200069,132,,10,20,5,,,6,0,137,M,Azul,"",9
6,"Bikini 1",INT-6M9PGN,1792534455805,169,,30,30,6,,,2,2,134,XS,PASTEL,"",5
6,"Bikini 1",INT-6M9PGN,1792534455805,169,,30,30,6,,,2,2,135,S,VINO,"",10
6,"Bikini 1",INT-6M9PGN,1792534455805,169,,30,30,6,,,2,2,136,XS,"AZUL MARINO","",3
7,"Bikini 1",INT-UO5ZYT,8221513224994,182,,20,30,7,,,3,0,132,XS,"PALO DE ROSA","",2
7,"Bikini 1",INT-UO5ZYT,8221513224994,182,,20,30,7,,,3,0,133,S,PASTEL,"",2
9,"Conjunto Largo","",2727086609887,150,,15,30.43,9,,,20,2,129,M,Negro,"",8
9,"Conjunto Largo","",2727086609887,150,,15,30.43,9,,,20,2,130,S,Rojo,#ff0000,5
9,"Conjunto Largo","",2727086609887,150,,15,30.43,9,,,20,2,131,XS,LILA,"",5
11,"PANTALON WED LEG JEANS BASIC",GINDB1-01,GINDB1-01,746,,20.8,79.93,11,,,0,0,639,36,"JEANS AZUL","",0
11,"PANTALON WED LEG JEANS BASIC",GINDB1-01,GINDB1-01,746,,20.8,79.93,11,,,0,0,640,38,"JEANS AZUL","",1
11,"PANTALON WED LEG JEANS BASIC",GINDB1-01,GINDB1-01,746,,20.8,79.93,373,13,GAIA,2,1,639,36,"JEANS AZUL","",0
11,"PANTALON WED LEG JEANS BASIC",GINDB1-01,GINDB1-01,746,,20.8,79.93,373,13,GAIA,2,1,640,38,"JEANS AZUL","",1
13,"PANTALON JEANS PALAZZO BLOSH",GINEB1-02,GINEB1-02,766,,20.8,75.45,13,,,1,1,627,36,CELESTE,"",1
13,"PANTALON JEANS PALAZZO BLOSH",GINEB1-02,GINEB1-02,766,,20.8,75.45,13,,,1,1,628,38,AZUL,"",1
13,"PANTALON JEANS PALAZZO BLOSH",GINEB1-02,GINEB1-02,766,,20.8,75.45,367,13,GAIA,2,0,627,36,CELESTE,"",1
13,"PANTALON JEANS PALAZZO BLOSH",GINEB1-02,GINEB1-02,766,,20.8,75.45,367,13,GAIA,2,0,628,38,AZUL,"",1
14,BIKINIS,MICM1-18,MICM1-18,453,,,,14,,,0,0,607,S,NEGRO,"",0
14,BIKINIS,MICM1-18,MICM1-18,453,,,,14,,,0,0,608,M,FUCSIA,"",1
14,BIKINIS,MICM1-18,MICM1-18,453,,,,361,8,"MAYA SWIM",1,0,607,S,NEGRO,"",0
14,BIKINIS,MICM1-18,MICM1-18,453,,,,361,8,"MAYA SWIM",1,0,608,M,FUCSIA,"",1
15,MALLAS,GINVA3-15,GINVA3-15,412,,,,15,,,2,0,,,,,
16,"PANTALON BE FREE PREMIUM",GINEB2,GINEB2,713,,30,146.88,16,,,0,0,614,36,AZUL,"",2
16,"PANTALON BE FREE PREMIUM",GINEB2,GINEB2,713,,30,146.88,16,,,0,0,615,38,AZUL,"",1
16,"PANTALON BE FREE PREMIUM",GINEB2,GINEB2,713,,30,146.88,16,,,0,0,616,38,NEGRO,"",1
16,"PANTALON BE FREE PREMIUM",GINEB2,GINEB2,713,,30,146.88,366,13,GAIA,4,0,614,36,AZUL,"",2
16,"PANTALON BE FREE PREMIUM",GINEB2,GINEB2,713,,30,146.88,366,13,GAIA,4,0,615,38,AZUL,"",1
16,"PANTALON BE FREE PREMIUM",GINEB2,GINEB2,713,,30,146.88,366,13,GAIA,4,0,616,38,NEGRO,"",1
17,MALLA,GINVA3-09,GINVA3-09,385,,,,17,,,0,0,611,M,GUINDA,"",1
17,MALLA,GINVA3-09,GINVA3-09,385,,,,17,,,0,0,612,M,BEIGE,"",1
17,MALLA,GINVA3-09,GINVA3-09,385,,,,364,8,"MAYA SWIM",2,0,611,M,GUINDA,"",1
17,MALLA,GINVA3-09,GINVA3-09,385,,,,364,8,"MAYA SWIM",2,0,612,M,BEIGE,"",1
18,MALLA,GINFUI,GINFUI,415,,,,18,,,0,0,613,M,NEGRA,"",1
18,MALLA,GINFUI,GINFUI,415,,,,365,8,"MAYA SWIM",1,0,613,M,NEGRA,"",1
19,MALLA,GINFUI-REP,GINFUI-REP,425,,,,19,,,1,0,,,,,
20,"BIKINIS CON MOTAS",GINDU4-62,GINDU4-62,295,,,,20,,,0,0,680,S,Bordo,"",2
20,"BIKINIS CON MOTAS",GINDU4-62,GINDU4-62,295,,,,20,,,0,0,681,M,Bordo,"",1
20,"BIKINIS CON MOTAS",GINDU4-62,GINDU4-62,295,,,,20,,,0,0,682,S,Amarillo,"",1
20,"BIKINIS CON MOTAS",GINDU4-62,GINDU4-62,295,,,,20,,,0,0,683,M,Negro,"",1
20,"BIKINIS CON MOTAS",GINDU4-62,GINDU4-62,295,,,,387,8,"MAYA SWIM",5,0,680,S,Bordo,"",2
20,"BIKINIS CON MOTAS",GINDU4-62,GINDU4-62,295,,,,387,8,"MAYA SWIM",5,0,681,M,Bordo,"",1
20,"BIKINIS CON MOTAS",GINDU4-62,GINDU4-62,295,,,,387,8,"MAYA SWIM",5,0,682,S,Amarillo,"",1
20,"BIKINIS CON MOTAS",GINDU4-62,GINDU4-62,295,,,,387,8,"MAYA SWIM",5,0,683,M,Negro,"",1
21,MALLA,GINFUI--REP,GINFUI--REP,425,,,,21,,,0,0,686,"","","",1
21,MALLA,GINFUI--REP,GINFUI--REP,425,,,,389,8,"MAYA SWIM",1,0,686,"","","",1
22,MALLA,GINVA3-14,GINVA3-14,385,,,,22,,,0,0,687,S,NEGRA,"",1
22,MALLA,GINVA3-14,GINVA3-14,385,,,,390,8,"MAYA SWIM",1,0,687,S,NEGRA,"",1
23,MALLA,GINEU3-26,GINEU3-26,420,,,,23,,,0,0,688,S,"BLANCO Y NEGRO","",1
23,MALLA,GINEU3-26,GINEU3-26,420,,,,391,8,"MAYA SWIM",1,0,688,S,"BLANCO Y NEGRO","",1
24,"BIKINI COLOMBIANOS",MICM1-01,MICM1-01,523,,,,24,,,5,0,216,M,FUCSIA,"",1
24,"BIKINI COLOMBIANOS",MICM1-01,MICM1-01,523,,,,24,,,5,0,217,S,BEIGE,"",1
24,"BIKINI COLOMBIANOS",MICM1-01,MICM1-01,523,,,,24,,,5,0,218,S,AMARILLO,"",1
25,"BIKINI COLOMBIANO",MICM1-30,MICM1-30,563,,,,25,,,1,0,,,,,
26,BIKINI,GINVA3-08,GINVA3-08,445,,,,26,,,3,0,,,,,
27,"PANTALÓN NEW VALENCIA",GINEB1-01,GINEB1-01,756,,30,,27,,,0,0,689,37,Azul,"",1
27,"PANTALÓN NEW VALENCIA",GINEB1-01,GINEB1-01,756,,30,,392,13,GAIA,1,0,689,37,Azul,"",1
28,BIKINI,GINVA2-044,GINVA2-044,389,,,,28,,,5,0,,,,,
29,"PANTALÓN SECOND SLIM WIDE LEG",GINEB1-04,GINEB1-04,756,,30,109.33,29,,,0,0,694,38,Azul,"",1
29,"PANTALÓN SECOND SLIM WIDE LEG",GINEB1-04,GINEB1-04,756,,30,109.33,29,,,0,0,695,"","","",0
29,"PANTALÓN SECOND SLIM WIDE LEG",GINEB1-04,GINEB1-04,756,,30,109.33,394,13,GAIA,1,0,694,38,Azul,"",1
29,"PANTALÓN SECOND SLIM WIDE LEG",GINEB1-04,GINEB1-04,756,,30,109.33,394,13,GAIA,1,0,695,"","","",0
